Unnamed: 0,城市,职位名称,公司名称,公司规模,公司类型,薪资,学历要求,技能要求,工作经验要求,评分
2770,西安,数据分析专员,陕西佳佰汇服饰有限公司,100-299人,民营,4千-7千,大专,商业分析 数据挖掘 行业分析 需求分析 ,1-3年,6.0
2771,西安-雁塔,数据分析实习生,亚信科技,10000人以上,民营,120-150/天,本科,SQL ,无经验,6.25
2772,西安-雁塔,金融数据分析,陕西安东江实业投资有限公司,20人以下,民营,9千-1万,硕士,期权数据分析 风险分析 Python 证券数据分析 期货数据分析 基金从业资格证 特许金融分析师二级 ,1-3年,5.75
2773,西安-雁塔,数据分析,上海晨钦信息科技服务有限公司,1000-9999人,上市公司,1万-1.5万,本科,Power BI ,1-3年,7.1
2774,西安-灞桥,数据分析,西安慧德软件有限公司,20人以下,股份制企业,8千-1.1万,大专,BI ,不限,5.25
2775,西安-雁塔,数据分析,软通动力信息技术(集团)股份有限公司,10000人以上,民营,1万-2万,本科,SAS SQL 商业数据分析 HADOOP/HIVE 时间序列模型、回归分析模型 SAS EM 聚类挖掘、贝叶斯、关联规则挖掘 ,1-3年,6.85
2776,西安-雁塔,临床数据分析,西安中合态医疗科技有限公司,20人以下,无,5千-8千,本科,临床数据分析 医疗器械 ,1-3年,5.05
2777,西安-雁塔,数据分析实习生,亚信科技,10000人以上,民营,120-150/天,本科,Python SQL 互联网 IT服务 数据分析 数据挖掘 ,无经验,6.25
2778,西安-未央,销售数据分析,西安市凯宏达电子商务有限公司,20-99人,民营,4千-6千,本科,数据分析 数据统计 电商销售 英语 销售管理 ,1-3年,5.8
2779,西安-雁塔,数据分析运营（网约车行业）,西安优达汽车租赁有限公司,100-299人,民营,5千-9千,本科,策略运营 ,1-3年,6.1
2780,西安-雁塔,兼职分析助理 | 在线工作 | 金融数据分析项目组招聘！,广州顶鎏信息科技有限公司,20人以下,民营,150-300元/天,大专,舆情分析 风险分析 经济分析 技术面分析 基本面分析 量化分析 ,不限,5.15
2781,西安-雁塔,BI商业数据分析课程xa/培训招生,51Testing,100-299人,民营,8千-1.2万,大专,软件测试 测试 性能测试 功能测试 可靠性测试 安全测试 稳定性测试 兼容性测试 ,不限,5.6
2782,西安-雁塔,数据分析员,陕西万银置业投资有限公司,20-99人,民营,4千-7千,本科,基金数据分析 基本面分析 技术面分析 ,1-3年,5.8
2783,西安-雁塔,商业数据分析专员,陕西卡俄斯信息技术服务有限公司,无,无,4千-8千,本科,土耳其语 ,不限,4.35
2785,西安-碑林,市场调研数据分析专员,西安吉百士信息科技有限公司,20人以下,民营,4千-6千,本科,统计学 应用统计学 数据分析 ,1-3年,5.65
2786,西安-新城,英语润色降重改经济理工数据分析相关经验优先 线上兼职 时间自由 办公地点不限,淄博金诺客信息网络科技有限公司,20-99人,民营,1万-1.5万,本科,学校/学历教育 新闻/出版 化工 工程建设 医药制造/检测 半导体/集成电路 ,1-3年,5.8
2787,西安-雁塔,数据开发/数据挖掘/数据分析/数仓,外企德科,1000-9999人,合资,1.5万-3万,本科,数据挖掘 数据治理 实时数仓 数据湖 数据中台 数据平台 Python Java Scala Hadoop Spark ,不限,6.35
2788,西安-雁塔,数据统计分析,西安黑豹航空科技有限公司,20人以下,民营,4千-6千,本科,销售数据分析 商业数据分析 多元统计分析 ,不限,5.25
2789,西安-雁塔,销售数据专员,万唯原创文化传播(陕西)有限公司,1000-9999人,民营,6千-1万,本科,Python SQL Power BI 批发/零售 教育培训 ,1-3年,6.7
2790,西安-新城,数据/运营分析岗,北京六律科技有限责任公司,1000-9999人,民营,5千-8千,本科,运营数据分析 ,1-3年,6.7
2791,西安-未央,数据统计分析,北京环丁扬冠科技有限公司,20-99人,民营,9千-1.1万,大专,SPSS 商业数据分析 运营数据分析 R语言 ,不限,5.3
2792,西安-雁塔,舆情分析师(J10379),中科闻歌,500-999人,股份制企业,8千-1.5万,本科,数学/统计学专业 项目型产品 ,3-5年,6.7
2793,西安-雁塔,分析师,陕西磐河贸易有限公司,20-99人,民营,5千-8千,大专,技术面研究 ,1-3年,5.7
2794,西安,大数据实习生（餐补）,西安鹏晨科技有限公司,300-499人,民营,3千-6千,大专,行业分析 深度学习 ,不限,5.75
2795,西安-长安,商务数据专员,西安远大德天药业股份有限公司,100-299人,民营,4千-6千,大专,流向管理 医药行业 数据专员 销售内勤 ,1-3年,6.0
2796,西安-雁塔,MC数据监控分析实习生,北京互联企信信息技术有限公司,1000-9999人,外商独资,100-150/天,大专,SQL ,无经验,6.3
2797,西安-碑林,数据内勤,西安国花瓷商贸有限公司,300-499人,民营,4千-5千,本科,快消品 ,1-3年,6.25
2798,西安,商品数据专员,陕西纳纳服饰有限公司,20-99人,民营,5千-7千,学历不限,批发/零售 ,5-10年,6.3
2799,西安-雁塔,数据处理,博和利统计大数据(天津)集团有限公司,500-999人,民营,150-200/天,本科,SPSS SAS MATLAB 商业数据分析 主成份分析 Python Eviews ,无经验,5.8
2800,西安-碑林,商品分析师,西安三合顺贸易服务有限公司,20人以下,民营,5千-1万,大专,金融数据分析 风控数据分析 ,1-3年,5.55
2801,西安,金融分析师,广州金证研投研数据技术有限公司西安分公司,100-299人,无,9千-1.4万,本科,IT/互联网 证券从业资格证 经济研究 政策研究 企业研究 基本面研究 技术面研究 互联网金融研究 ,不限,5.1
2802,西安-长安,遥感数据预处理工程师,西安中科西光航天科技有限公司,20-99人,股份制企业,1.2万-2.4万,本科,数据预处理 ,3-5年,6.1
2804,西安-雁塔,数据技术工程师,中国航空工业集团公司西安航空计算技术研究所,1000-9999人,事业单位,1万-1.5万,硕士,Storm Spark Flink ,3-5年,7.1
2805,西安-新城,技术分析师,海南大图小灵教育科技有限公司,100-299人,其它,5千-1万,本科,金融数据分析 ,3-5年,6.2
2806,西安-雁塔,大数据SA,深圳市讯方技术股份有限公司,1000-9999人,股份制企业,1万-1.8万,本科,运营数据分析 运营商B域 ,5-10年,7.4
2807,西安-长安,数据研发工程师（遥感影像）,西安中科西光航天科技有限公司,20-99人,股份制企业,9千-1.5万,硕士,arcgis ENVI ,3-5年,6.2
2808,西安-莲湖,技术分析师,西安盈兴投资管理有限公司,20-99人,民营,4千-8千,大专,基本面分析 技术面分析 风险分析 外汇交易分析 汇率分析 ,3-5年,5.9
2809,西安,证券分析师,广州金证研投研数据技术有限公司西安分公司,100-299人,无,9千-1.4万,本科,IT/互联网 证券从业资格证 经济研究 政策研究 企业研究 基本面研究 技术面研究 互联网金融研究 ,不限,5.1
2810,西安-雁塔,产业发展部副总经理/经理/主管（大数据方向）,西安雷鸟网络科技有限公司,20-99人,民营,1万-2万,本科,大数据 人工智能 ,5-10年,6.4
2811,西安-未央,资料分析员,中妤(北京)科技有限公司,20-99人,民营,8千-1.2万,大专,R语言 SPSS C+ 数据分析 ,不限,5.3
2812,西安-长安,销售内勤,西安远大德天药业股份有限公司,100-299人,民营,4千-6千,大专,数据专员 流向管理 销售内勤 ,1-3年,6.0
2813,西安-雁塔,JAVA开发工程师课程xa/培训招生,51Testing,100-299人,民营,8千-1.2万,大专,数据分析 商业数据分析 市场数据分析 运营数据分析 销售数据分析 经营数据分析 电商数据分析 财务数据分析 ,无经验,5.4
2814,西安-雁塔,资本运营岗（总公司）,陕西华达科技股份有限公司,1000-9999人,国企,7千-1.3万,硕士,证券数据分析 投融资数据分析 ,不限,6.6
2815,西安-未央,BI报表开发工程师,北京驰纳天华科技有限公司,20-99人,民营,8千-1.2万,大专,报表开发 数据挖掘 Kettle MySQL Oracle 数据清洗 SQL Server FineBI ,1-3年,5.7
2816,西安-莲湖,资料分析员,北京环丁扬冠科技有限公司,20-99人,民营,9千-1.2万,大专,SPSS R语言 多元统计分析 大数据分析 ,不限,5.3
2817,西安-雁塔,研究岗（陕西丝路金融研究院）,西安曲江文化金融控股(集团)有限公司,1000-9999人,国企,8千-1.5万,硕士,政策研究 ,不限,6.6
2818,西安,行业研究员,广州金证研投研数据技术有限公司西安分公司,100-299人,无,9千-1.4万,本科,IT/互联网 证券从业资格证 经济研究 政策研究 企业研究 基本面研究 技术面研究 互联网金融研究 ,不限,5.1
2819,西安,经营管理专员,西安旭彤电子科技股份有限公司,100-299人,民营,7千-1.2万,本科,运营数据分析 财务数据分析 ,3-5年,6.3
2820,西安-灞桥,碳汇管理师,陕西林业集团土木林森发展有限责任公司,20-99人,国企,5千-1万,本科,基本面研究 ,不限,5.6
2821,西安-碑林,氛围轻松的编辑~,西安牛犇企业文化传播有限公司,20-99人,民营,6千-1.2万,硕士,SPSS Stata ,不限,5.5
2822,西安-未央,BI报表实施工程师,北京驰纳天华科技有限公司,20-99人,民营,8千-1万,本科,Java SQL 报表开发 MySQL FineReport BI报表开发 FineBI ,1-3年,5.8
2823,西安-莲湖,销售内勤,西安四彩汇聚商贸有限公司,100-299人,民营,5千-6千,大专,销售数据分析 行政管理 会务活动 数据统计 ,1-3年,6.0
2824,西安-雁塔,企划部综合文员,陕西优利士羊乳品营销有限公司,100-299人,民营,4千-5千,大专,批发/零售 ,1-3年,6.0
2825,西安-长安,经营计划岗,西安星通通信科技有限公司,20-99人,民营,8千-1.5万,本科,经营数据分析 ,1-3年,5.8
2826,西安-碑林,市场专员（宣传设计方向）,杭州海康威视数字技术股份有限公司,10000人以上,上市公司,4千-7千,本科,PPT Visio PS ,1-3年,7.25
2827,西安-雁塔,国土变更调查/全民所有自然资源资产清查技术负责人,陕西科绘地理信息技术有限公司,20-99人,民营,5千-8千,本科,解决方案技术支持 农/林/牧/渔 能源/环保 ,1-3年,5.8
2828,西安,环境类授权签字人和技术负责人,陕西秦督检测技术有限公司,20人以下,无,8千-1万,本科,因子分析 懂得都懂 ,5-10年,5.65
2829,西安-未央,商业规划资深经理,万达商业管理集团有限公司陕西分公司,500-999人,上市公司,2.5万-3.5万,本科,管理咨询工作经验 ,5-10年,7.65
2830,西安-碑林,研发工程师,西安极泰信息科技有限公司,20人以下,民营,4千-8千,本科,SQL Power-BI 计算机专业 数学/统计学专业 ,不限,5.25
2831,西安-高新区,商品专员,浙江大东鞋业有限公司,10000人以上,民营,5千-8千,大专,销售业务数据 门店管理 区域督导 ,1-3年,6.75
2832,西安-临潼,经营分析主管,陕西美兰德炭素有限责任公司,500-999人,民营,8千-1.2万,本科,运营数据分析 财务数据分析 ,3-5年,6.6
2834,西安,BI工程师,中意财产保险有限公司,100-299人,合资,1万-1.5万,本科,数据仓库 ,3-5年,6.4
2835,西安-雁塔,帆软报表FineReport和FineBI开发工程师,西安敦讯信息技术有限公司,20-99人,民营,1.3万-1.7万,本科,SQL Power BI Kettle 报表开发 ,3-5年,6.0
2836,西安-雁塔,运营管培生（策略方向）,西安优达汽车租赁有限公司,100-299人,民营,7千-1万,本科,数学/统计学专业 ,不限,5.7
2837,西安-碑林,商品运营专员,陕西康富来丝绸有限公司,100-299人,民营,6千-8千,大专,批发/零售 excel ,3-5年,6.2
2838,西安-雁塔,研究员,迈科期货股份有限公司,100-299人,上市公司,5千-8千,本科,期货研究 基本面研究 经济研究 ,不限,6.1
2839,西安-未央,开发运营工程师（西安）,玛泽咨询(上海)有限公司,100-299人,其它,8千-1万,本科,Python Oracle SQL ,3-5年,6.2
2840,西安,证券分析,陕西博盛隆投资有限公司,20-99人,民营,8千-1万,本科,宏观分析 量化分析 股票市场 技术面分析 ,不限,5.4
2841,西安-雁塔,黑色研究员,陕西蒙特卡洛投资有限公司,20人以下,无,8千-9千,本科,基本面研究 经济研究 政策研究 技术面研究 期货研究 ,3-5年,5.25
2842,西安-碑林,经济账户管理员,陕西金富元信息技术有限公司,100-299人,民营,8千-1.4万,大专,基本面分析 技术面分析 ,不限,5.6
2843,西安-长安,私募基金经理,深圳市国升投资有限公司,20-99人,民营,2万-4万,本科,基金从业资格证 金融业 证券私募 股票 股票市场 期货市场 基金市场 ,3-5年,6.25
2845,西安-高陵,驻场工程师-陕西,北京志翔科技股份有限公司,500-999人,股份制企业,8千-1.2万,大专,Python 报表开发 MySQL ,不限,6.0
2846,西安-曲江新区,商品专员,西安曼丽娅服饰有限公司,100-299人,民营,5千-8千,大专,数据分析 销售业务数据 统计学 ,1-3年,6.0
2847,西安-雁塔,讲师（金融）,陕西畅至远臻商业管理有限公司,20-99人,民营,8千-1.3万,学历不限,期货市场 ,不限,5.3
2849,西安-雁塔,辅助运营SA,深圳市讯方技术股份有限公司,1000-9999人,股份制企业,1.1万-1.7万,本科,O域 B域 产品运营 ,3-5年,7.0
2850,西安,商品专员,陕西珂尔佳兴服饰有限公司,1000-9999人,民营,5千-7千,大专,销售业务数据 数据分析 售罄 调拨 商品AD 畅滞销 商品 ,1-3年,6.6
2851,西安,证券分析,西安仁赞进出口贸易有限公司,20-99人,民营,30-60元/时,本科,基金市场 期货市场 股票市场 投资分析 技术面分析 行业分析 基本面分析 证券从业资格证 ,1-3年,5.8
2852,西安-雁塔,宏观经济研究员,陕西安东江实业投资有限公司,20人以下,民营,9千-1万,硕士,经济研究 政策研究 ,不限,5.35
2853,西安-雁塔,排班师WFM,华为技术有限公司,10000人以上,民营,面议,本科,Python 数据分析师 ,3-5年,7.05
2854,西安,BI产品研发主管,东华医为科技有限公司,1000-9999人,民营,3万-5万,本科,Java Oracle MySQL Javascript jQuery ETL FineReport ,5-10年,7.85
2855,西安-未央,A股波段操盘手（可异地线上）,广西极犇私募基金有限公司,20-99人,民营,1.5万-3万,本科,投资分析 基本面分析 行业分析 技术面分析 股票市场 宏观经济分析 公司分析 ,1-3年,5.75
2856,西安-新城,商品专员,陕西品迹商贸有限公司,100-299人,民营,4千-8千,大专,数据分析 商品专员 ,3-5年,6.2
2858,西安-新城,商品主管,陕西依婷菲尔商贸有限公司,500-999人,民营,6千-8千,大专,批发/零售 ,1-3年,6.3
2859,西安-雁塔,副产品主任,周生生(中国)商业有限公司西安分公司,1000-9999人,上市公司,面议,大专,数据分析 销售数据分析 ,1-3年,7.0
2861,西安,博士生,梅花生物科技集团股份有限公司,10000人以上,股份制企业,2万-3万,博士,数据分析 数据挖掘 数据建模 深度学习 行业分析 金融 ,不限,6.8
2862,西安,投资顾问,国信证券股份有限公司西安科技二路证券营业部,1000-9999人,国企,1万-1.1万,本科,投资分析 风险分析 量化分析 ,1-3年,6.9
2863,西安-未央,投资部投资顾问,陕西鑫奥众汽车销售服务有限公司,20-99人,民营,6千-1.2万,本科,投资分析 ,不限,5.4
2864,西安-未央,投资顾问（专业型）,国信证券陕西分公司,100-299人,上市公司,8千-1.6万,硕士,股票市场 投资分析 公司分析 技术面分析 证券投资咨询资格证 基金从业资格证 证券从业资格证 期货从业资格证 ,1-3年,6.6
2865,西安,商品主管,陕西珂尔佳兴服饰有限公司,1000-9999人,民营,6千-8千,大专,销售业务数据 商品 货控 售罄 调拨分析 商品数据分析 ,3-5年,6.8
2866,西安-新城,商品总监,西安九盛时代百货商贸有限公司,300-499人,民营,1万-1.8万,大专,服饰/鞋帽/箱包 ,1-3年,6.15
2867,西安-灞桥,Power BI,西安慧德软件有限公司,20人以下,股份制企业,8千-1.3万,本科,Python SQL Power BI ,不限,5.35
2868,西安,陕西分公司-投资顾问,申港证券股份有限公司,500-999人,合资,1.5万-2万,本科,投资顾问 ,1-3年,6.45
2869,西安-雁塔,金融研究,陕西众源云燊贸易有限责任公司,20-99人,民营,8千-1.6万,学历不限,互联网金融研究 IT/互联网 ,1-3年,5.7
2870,西安-碑林,证券投资顾问,首创证券股份有限公司,1000-9999人,国企,8千-1万,本科,投资分析 证券从业资格证 股票市场 基金市场 证券投资咨询资格证 债券市场 市场环境 ,1-3年,6.9
2871,西安-雁塔,IC经理/投资咨询经理/培训经理,中财君道投资管理有限公司,100-299人,民营,1万-1.5万,本科,宏观经济分析 市场环境 债券市场 证券从业资格证 基金从业资格证 ,5-10年,6.7
2872,西安-雁塔,投资顾问,金元证券,1000-9999人,国企,1万-2万,本科,投资分析 基本面分析 技术面分析 证券从业资格证 股票市场 基金市场 公司分析 证券投资咨询资格证 ,1-3年,6.9
2873,西安-碑林,经济研究员,北京中金万瑞工程咨询有限公司,100-299人,民营,8千-1万,本科,经济研究 政策研究 产业发展研究 ,1-3年,6.1
2874,西安-经开区,商业智能经理(041935),隆基绿能科技股份有限公司,10000人以上,股份制企业,1.5万-2.5万,本科,数据治理 数据挖掘 报表开发 数据清洗 数据可视化 ,5-10年,7.5
2875,西安-未央,投资顾问（专业型）,国信证券陕西分公司,100-299人,上市公司,8千-1.6万,硕士,股票市场 投资分析 公司分析 技术面分析 证券投资咨询资格证 基金从业资格证 证券从业资格证 期货从业资格证 ,1-3年,6.6
2876,西安,投资顾问（高新诚聘）,华西证券股份有限公司西安二环南路证券营业部,1000-9999人,国企,1万-2万,本科,投资分析 量化分析 风险分析 客户服务 ,1-3年,6.9
2877,西安,投资研究员,西安迈睿恒力私募基金管理有限公司,20-99人,民营,80-100/天,硕士,基本面研究 经济研究 企业研究 证券研究 基金研究 ,无经验,5.3
2878,西安-雁塔,证券咨询（储备干部）,江苏百瑞赢证券咨询有限公司西安分公司,500-999人,民营,8千-1.6万,高中,金融业 ,不限,5.8
2880,西安-雁塔,见习研究员,中信建投期货有限公司,500-999人,国企,30-80/天,硕士,见习研究员 ,无经验,6.1
2881,西安-雁塔,投资顾问,东兴证券,1000-9999人,国企,1万-2万,本科,行业分析 股票市场 宏观经济分析 ,3-5年,7.1
2883,西安-碑林,投融资经理,北京中金万瑞工程咨询有限公司,100-299人,民营,8千-1.5万,硕士,经济研究 政策研究 证券研究 投融资研究 基金研究 ,不限,5.8
2884,西安,大宗出口业务员,西安三合顺贸易服务有限公司,20人以下,民营,4千-8千,大专,基本面研究 经济研究 ,1-3年,5.55
2885,西安,投资顾问,长城证券,1000-9999人,国企,6千-1.2万,本科,客户服务 资产配置 市场分析 金融理财 基金销售 ,3-5年,7.1
2886,西安-雁塔,帆软报表开发工程师,西安爱智众合信息技术有限公司,100-299人,民营,8千-1.3万,本科,FineBI ,1-3年,6.1
2887,西安-未央,项目实施顾问,河南云数大数据科技有限公司,20-99人,民营,9千-1.3万,本科,SQL SAS 商业数据分析 ,不限,5.4
2888,西安,两融业务精英,长城证券,1000-9999人,国企,6千-1.2万,本科,大客户开发 融资融券 ,3-5年,7.1
2889,西安-雁塔,科大讯飞-中文资源工程师,外企德科人力资源服务安徽有限公司,100-299人,国企,4千-7千,本科,汉语言 秘书学 新闻学 AI ,1-3年,6.3
2890,西安-碑林,生物统计师,斯丹姆,1000-9999人,民营,1.1万-1.2万,硕士,生物统计师 应用统计学 统计学 ,不限,6.4
2891,西安-未央,数据管理员,北京康特瑞科统计科技有限责任公司,100-299人,民营,8千-1.5万,本科,临床数据分析 ,5-10年,6.7
2892,西安-雁塔,数统项目管理,康龙化成(成都)临床研究服务有限公司,10000人以上,合资,1.1万-2.2万,本科,临床数据分析 CRO 临床试验 ,3-5年,7.15
2893,西安-雁塔,医学分析师,西安瑞志几何信息技术服务有限公司,20人以下,民营,4千-5千,本科,临床数据分析 ,不限,5.25
2894,西安-未央,生物统计师I,北京康特瑞科统计科技有限责任公司,100-299人,民营,8千-1.2万,硕士,SAS 英语 生物统计学 流行病学 ,不限,5.8
2895,西安-未央,sas programmer 统计编程员,斯丹姆,1000-9999人,民营,1万-1.5万,本科,SAS 流行病学 CRF设计 ,不限,6.3
2896,西安-雁塔,高级sas程序员,博润阳光,100-299人,民营,1.5万-2.5万,本科,CDISC SAS ,3-5年,6.25
2897,西安-未央,SAS程序师,北京康特瑞科统计科技有限责任公司,100-299人,民营,7千-1.2万,本科,英语 SAS ,1-3年,6.1
2898,西安-碑林,统计师-Intern,斯丹姆,1000-9999人,民营,120-150/天,硕士,临床数据分析 ,无经验,6.2
2899,西安,治污降霾专业技术岗,陕西国盛环境科技有限公司,20-99人,民营,4千-8千,本科,数据分析师 大气污染防治咨询服务专家 ,不限,5.4
2900,西安-雁塔,数据采集分析工程师,陕西青研云信息科技有限责任公司,20-99人,民营,3千-5千,学历不限,数据爬虫 HTML Java ,不限,5.3
2901,西安-未央,SAS编程员,斯丹姆,1000-9999人,民营,6千-1.2万,本科,SAS 医学 生物统计学 SQL 临床试验 CRO ,不限,6.3
2902,西安,高级数据治理工程师,导航科技,100-299人,民营,1.2万-2万,本科,数据治理 数据挖掘 ETL开发 数据建模 数据平台 数据中台 Spark Flink Hive Hadoop 交通行业 ,5-10年,6.7
2903,西安,数据采集分析技术,陕西青研云信息科技有限责任公司,20-99人,民营,3千-5千,大专,数据爬虫 Python SQL Java HTML CSS PHP C语言 ,不限,5.3
2904,西安-碑林,SAS-intern,斯丹姆,1000-9999人,民营,120-150/天,硕士,R SAS SPSS ,无经验,6.2
2905,西安-雁塔,数据治理工程师,一通(河南)信息科技有限公司,100-299人,民营,8千-1.1万,本科,数据治理 数据建模 数仓开发 智慧城市 数字政府 大数据处理 Spark Hadoop Hive ,不限,5.7
2906,西安-未央,数据治理工程师,龙腾半导体股份有限公司,500-999人,民营,8千-1.5万,本科,数据治理 报表开发 ETL开发 数据集市 实时数仓 DAMA、DCMM Kettle Informatica DATASTAGE ETC ,3-5年,6.6
2907,西安-碑林,SAS编程员/资深SAS编程员,斯丹姆,1000-9999人,民营,1万-2万,本科,SAS 医学 SQL 临床试验 CRO ,不限,6.3
2908,西安-雁塔,数据治理工程师,陕西博源数据科技有限公司,20-99人,股份制企业,6千-1.2万,大专,数据治理 数据治理项目经理 ,3-5年,6.0
2909,西安-雁塔,数据治理工程师,导航科技,100-299人,民营,8千-1.2万,本科,数据治理 数仓开发 数据中台 实时数仓 数据运维 Hadoop Kafka SQL Server MySQL Oracle 交通行业 ,1-3年,6.1
2910,西安-雁塔,数据治理工程师,一通(河南)信息科技有限公司,100-299人,民营,8千-1.1万,本科,数据治理 数仓开发 Scala Hadoop MySQL Spark 数字政府 ,1-3年,6.1
2911,西安-雁塔,数据治理工程师1,陕西博源数据科技有限公司,20-99人,股份制企业,8千-1.2万,大专,数据治理 数据挖掘 ,3-5年,6.0
2912,西安-雁塔,数据工程师,东华软件股份公司,1000-9999人,上市公司,面议,本科,Java Hadoop SQL ,1-3年,7.1
2913,西安-长安,数据管理岗,西安明德理工学院,500-999人,学校/下级学院,4千-8千,硕士,数据运维 ,1-3年,6.6
2914,西安-雁塔,大数据工程师,易诺敬业电子科技,100-299人,民营,1.2万-1.8万,本科,Java Hadoop Scala Spark ,3-5年,6.3
2915,西安-雁塔,数据处理SE,深圳市讯方技术股份有限公司,1000-9999人,股份制企业,1.1万-1.8万,本科,Hadoop 数据架构 数据开发 数据处理 ,3-5年,7.0
2916,重庆-渝中,数据分析师助理,安徽瘦鱼信息科技有限公司,20-99人,民营,4千-7千,大专,Python 机器学习 深度学习 决策树 关联分析 协同过滤 聚类算法 多元统计分析 方差分析 神经网络 因子分析 ,不限,5.3
2917,重庆-渝中,数据分析师（双休+五险一金）,重庆安乐家科技有限公司,20-99人,民营,6千-9千,大专,运营数据分析 Python SQL 数据分析 ,不限,5.3
2918,重庆-九龙坡,电商数据分析师,重庆麦一科技有限公司,100-299人,民营,5千-1万,本科,SQL Python ,1-3年,6.1
2919,重庆,数据分析师,重庆秘毓电子商务有限公司,20-99人,民营,7千-1.2万,本科,Python 数据挖掘 数据分析 数据采集 爬虫 数据建模 ,不限,5.4
2920,重庆-渝北,数据分析师,太极集团,10000人以上,国企,1万-1.4万,本科,SQL ,1-3年,7.05
2921,重庆-渝北,数据分析师,北京瀚华管理咨询有限公司,1000-9999人,上市公司,8千-1万,本科,SQL 运营数据分析 销售数据分析 制造业 贸易 消费业 ,3-5年,7.3
2922,重庆-九龙坡,数据分析师,重庆览辉信息技术有限公司,100-299人,民营,6千-8千,本科,数据分析 设备运维 国家电网 ,3-5年,6.3
2923,重庆-渝北,数据分析师 周末双休,南通欧美罗家纺科技集团股份有限公司,100-299人,民营,9千-1.1万,大专,Java SAS 深度学习 关联分析 分类算法 财务数据分析 运营数据分析 ,1-3年,6.0
2924,重庆-渝北,数据分析师,中国电信重庆分公司,500-999人,国企,8千-1.5万,本科,SQL Python ,3-5年,6.8
2925,重庆-渝北,数据分析师,重庆同远影像制作有限公司,1000-9999人,民营,1万-1.5万,本科,投行 券商 证劵 数据分析 数据建模 决策依据 ,1-3年,6.7
2926,重庆-江北,数据分析师,东方微银科技股份有限公司,300-499人,民营,1.5万-3万,硕士,Python SQL ,不限,5.8
2927,重庆-渝北,中药数据分析师,重庆药达大数据有限公司,20-99人,民营,8千-1万,本科,中药分析师 信息调研 ,1-3年,5.8
2928,重庆-大渡口,数据分析工程师(J10058),中元汇吉生物技术股份有限公司,1000-9999人,民营,1.2万-2万,本科,运营数据分析 销售数据分析 商业数据分析 SQL Python R语言 ,3-5年,6.9
2929,重庆-渝北,高级数据分析师,太极集团,10000人以上,国企,1万-1.5万,本科,关联分析 因子分析 判别分析 信度分析 商业数据分析 运营数据分析 ,1-3年,7.05
2930,重庆-渝北,数据分析师,埃克斯工业有限公司,100-299人,民营,1.6万-2.3万,本科,Python Java 数据仓库 ,5-10年,6.65
2931,重庆-渝北,大数据分析工程师,上海派玥信息科技有限公司,100-299人,民营,1.3万-2.3万,本科,关联分析 判别分析 运营数据分析 金融数据分析 风控数据分析 ,3-5年,6.3
2932,重庆-渝北,高级数据分析师（重庆） (MJ000754),百融云创,500-999人,股份制企业,1.5万-2.5万,硕士,Python SQL 深度学习 机器学习 决策树 回归算法 金融数据分析 风控数据分析 ,3-5年,6.65
2933,重庆,大数据分析工程师,健康医疗大数据西部研究院,20-99人,事业单位,1万-1.5万,硕士,Python SQL Tableau 深度学习 ,3-5年,6.2
2934,重庆-渝中,数据分析师课程重庆/培训招生,51Testing,100-299人,民营,6千-8千,大专,桥梁工程 通信工程 市政工程 水利工程 民用建筑 单多层建筑 环保工程 结构工程 ,不限,5.6
2935,重庆,数据分析师,重庆市逻之达科技有限公司,100-299人,民营,1万-2万,本科,数据分析 机器学习 MySQL PostgreSQL ,3-5年,6.3
2936,重庆-江北,大气环境数据分析工程师,重庆巨亮环保科技有限公司,20-99人,民营,5千-6千,大专,气体监测 ,1-3年,5.7
2937,重庆,大数据分析师,重庆后荒王文化传媒有限公司,20-99人,无,8千-1万,本科,MATLAB Gephi Oracle Hyperion Alteryx Scala Eviews Power BI 销售数据分析 ,3-5年,5.4
2938,重庆-北碚,环境数据分析工程师,佳华科技,500-999人,民营,5千-8千,本科,环境工程 大气环境 环境保护工程师 ,3-5年,6.6
2939,重庆-渝北,数据分析师（双休+五险一金）,新骥电子游戏(重庆)有限公司,20-99人,无,6千-9千,大专,Python SQL ,不限,4.7
2940,重庆-江北,数据分析（周末双休）,鼎之希电子机械重庆有限公司,100-299人,无,5千-7千,大专,SQL Python 销售数据分析 运营数据分析 ,不限,5.0
2941,重庆-北碚,环境数据分析工程师,佳华科技,500-999人,民营,5千-8千,本科,环境工程 大气环境 ,3-5年,6.6
2942,重庆-渝北,数据分析（双休）,重庆裕名微科技有限公司,20-99人,民营,9千-1万,大专,Oracle MySQL 数据分析 SQL ,1-3年,5.7
2943,重庆-渝中,数据分析专员（高薪+双休+五险一金）,重庆安乐家科技有限公司,20-99人,民营,6千-9千,本科,运营数据分析 ,不限,5.4
2944,重庆-合川,环境数据分析工程师,佳华科技,500-999人,民营,6千-1万,本科,环境工程 大气环境 环境保护工程师 ,3-5年,6.6
2945,重庆-渝中,数据分析,重庆斡旋文化传媒有限公司,20-99人,无,4千-5千,学历不限,新媒体推广 ,不限,4.7
2946,重庆-渝中,数据分析 / Senior Consulant,德勤华永会计师事务所（特殊普通合伙）,1000-9999人,外商独资,9千-1.8万,本科,SQL ,3-5年,7.2
2948,重庆-渝北,数据分析,重庆和平新航医疗器械有限公司,100-299人,国企,6千-8千,本科,数据分析 客户管理 ,3-5年,6.5
